Company ID,Total Billing Across Portfolio Last Month,Marvin Gardens,Park Place,Boardwalk,Ventnor,St. James Place,Tennessee,Kentucky,Pennslyvania,,,,,,,,,,
343552498,0.00769977,0.00769977,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
355039124,0.00233329,0.00000000,0.02131756,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
346209844,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
2393436,0.00002636,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00051363,0.00000000,0.00000000,,,,,,,,,,
56953886,0.00262215,0.00000000,0.00000000,0.00000000,0.00000000,0.01236930,0.00000000,0.00000000,0.00000000,,,,,,,,,,
27003689,0.19190341,0.17355012,0.01009032,0.01108034,0.37348340,0.02644510,0.02551465,0.04043866,0.00000000,,,,,,,,,,
18319464,0.00668194,0.00000000,0.04853860,0.00000000,0.01279780,0.00525899,0.00000000,0.00000000,0.00000000,,,,,,,,,,
65145132,0.00215296,0.00000000,0.01967005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
58609337,0.00045016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00877291,0.00000000,0.00000000,,,,,,,,,,
56495174,0.00949857,0.00158945,0.00282419,0.01435404,0.00564600,0.00533891,0.08381960,0.01501763,0.00000000,,,,,,,,,,
3194954,0.05826622,0.01849950,0.10305835,0.04170499,0.07083987,0.03514501,0.26298320,0.04718924,0.00000000,,,,,,,,,,
30376081,0.00401322,0.00000000,0.00000000,0.00000000,0.00000000,0.01893128,0.00000000,0.00000000,0.00000000,,,,,,,,,,
465430750,0.01027854,0.00000000,0.00000000,0.10805009,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
15567237,0.01778092,0.00000000,0.06886756,0.00000000,0.00000000,0.00000000,0.19962304,0.00000000,0.00000000,,,,,,,,,,
50761430,0.00780069,0.00000000,0.03491449,0.00000000,0.04715066,0.00000000,0.05928566,0.00000000,0.00000000,,,,,,,,,,
9355321,0.10977767,0.00000000,0.58030390,0.48630627,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
13534186,0.01847078,0.00154063,0.09606662,0.03579521,0.08629598,0.00000000,0.00000000,0.02820543,0.00000000,,,,,,,,,,
348756962,0.00492104,0.00000000,0.00000000,0.05173094,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
575162,0.00057723,0.00000000,0.00000000,0.00606796,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
19171206,0.00200171,0.00000000,0.01828816,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
354039914,0.01532616,0.00000000,0.00000000,0.16111169,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
14848474,0.01507037,0.00000000,0.00000000,0.15842278,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
25231652,0.00432345,0.00000000,0.03950020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
483828705,0.02031205,0.01753917,0.00000000,0.00000000,0.00000000,0.01308030,0.00000000,0.00000000,0.00000000,,,,,,,,,,
18241240,0.07819627,0.06586533,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.26854852,0.00000000,,,,,,,,,,
27181208,0.01469832,0.00000000,0.00000000,0.07348960,0.00000000,0.00000000,0.15020657,0.00000000,0.00000000,,,,,,,,,,
25743000,0.00806768,0.00334728,0.00000000,0.04962179,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
447046875,0.05131222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,,,,,,,,,,
8015523,0.00079595,0.00000000,0.00000000,0.00836719,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
24169680,0.08495232,0.00000000,0.11140761,0.67459117,0.05535931,0.00000000,0.14588866,0.00000000,0.00000000,,,,,,,,,,
38148918,0.00086265,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01681172,0.00000000,0.00000000,,,,,,,,,,
358638504,0.00251510,0.00000000,0.00000000,0.00000000,0.00000000,0.01186428,0.00000000,0.00000000,0.00000000,,,,,,,,,,
21315665,0.00015074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00293766,0.00000000,0.00000000,,,,,,,,,,
94978938,0.00668800,0.00000000,0.00000000,0.07030557,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
353633016,0.00894201,0.00000000,0.00000000,0.08729712,0.03208416,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
44583978,0.00243331,0.00000000,0.02223138,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
106561565,0.00051265,0.00000000,0.00000000,0.00538908,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
346092838,0.03510539,0.01136406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.51704907,0.00000000,,,,,,,,,,
356050257,0.00119307,0.00000000,0.00000000,0.01254178,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
10600958,0.00069869,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01361641,0.00000000,0.00000000,,,,,,,,,,
18383264,0.00204346,0.00000000,0.01866963,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
352189129,0.00189160,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03686455,0.00000000,0.00000000,,,,,,,,,,
151158996,0.03174979,0.00000000,0.04426974,0.07168899,0.00000000,0.00000000,0.39142129,0.00000000,0.00000000,,,,,,,,,,
346020666,0.02018922,0.00000000,0.00732139,0.05319591,0.00000000,0.00000000,0.27922137,0.00000000,0.00000000,,,,,,,,,,
37814629,0.10269825,0.00000000,0.00000000,0.00000000,0.17292372,0.25163826,0.00000000,1.00000000,0.00000000,,,,,,,,,,
352817298,0.04171933,0.00000000,0.31793248,0.07274835,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
56001074,0.00921487,0.00000000,0.03029835,0.02763716,0.00000000,0.00000000,0.06371864,0.00000000,0.00000000,,,,,,,,,,
105562330,0.08873645,0.05292360,0.00000000,0.00000000,0.00000000,0.00000000,0.69793984,0.00000000,0.00000000,,,,,,,,,,
69552790,0.00285005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05554328,0.00000000,0.00000000,,,,,,,,,,
8438524,0.02136823,0.00000000,0.00000000,0.22462711,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
36133055,0.00062739,0.00000000,0.00000000,0.00659529,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,
39307481,0.00151072,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02944168,0.00000000,0.00000000,,,,,,,,,,
397896710,0.00037409,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00729040,0.00000000,0.00000000,,,,,,,,,,
18796172,0.00573430,0.00000000,0.00000000,0.00000000,0.00000000,0.01512569,0.04926358,0.00000000,0.00000000,,,,,,,,,,
11141461,0.01065672,0.00000000,0.00000000,0.00000000,0.00000000,0.05027015,0.00000000,0.00000000,0.00000000,,,,,,,,,,
21135666,0.00336026,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06548647,0.00000000,0.00000000,,,,,,,,,,
79530569,0.00057208,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01114906,0.00000000,0.00000000,,,,,,,,,,
346149199,0.00751146,0.00090036,0.00000000,0.02788218,0.02273125,0.00000000,0.06834565,0.00000000,0.00000000,,,,,,,,,,
