ZoomInfo Company ID,Founded Year,Revenue (in 000s USD),Revenue Range (in USD),Est. Marketing Department Budget (in 000s USD),Est. Finance Department Budget (in 000s USD),Est. IT Department Budget (in 000s USD),Est. HR Department Budget (in 000s USD),Employees,Employee Range,Past 1 Year Employee Growth Rate,Past 2 Year Employee Growth Rate,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,Ownership Type,Business Model,Certified Active Company,Certification Date,Total Funding Amount (in 000s USD),Recent Funding Amount (in 000s USD),Recent Funding Round,Recent Funding Date,Recent Investors,All Investors,Company City,Company State,Company Zip Code,Company Country,Number of Locations,Company Is Acquired,Company ID (Ultimate Parent),Company ID (Immediate Parent)
148046227,1984,13474228,Over $5 bil.,1091412,202113,498546,91402,40543,Employees.10000plus,0,0,4812,481,48;481;4812,517312,517112,51;517;5171;51711;517112;5173;51731;517312,Telecommunications,Cable & Satellite,Telecommunications,Cable & Satellite;Telephony & Wireless,telecom,telecom.cable,78432,Public,B2B,Yes,7-Nov-23,0,0,,,,,Seoul,,4539,South Korea,4,,398384667,347372031
137593026,1982,630413,$500 mil. - $1 bil.,76910,6304,12608,3438,1525,Employees.1000to4999,0,0,5621,562,56;562;5621,458110,448140,45;458;4581;45811;458110;44;448;4481;44814;448140,Retail,Apparel & Accessories Retail,Retail,Apparel & Accessories Retail,retail,retail.clothes,16090,Public,B2B,Yes,20-Feb-24,124000,124000,Stock Issuance/Offering,3-May-12,,,Irvine,California,92618,United States,16,,,
23317692,1984,323881,$250 mil. - $500 mil.,16194,3238,6153,2423,1700,Employees.1000to4999,0,-3.5,8748,8712,87;871;8712;874;8748;8711,541330,541310,54;541;5413;54131;541310;54133;541330,Construction,"Architecture, Engineering & Design",Construction,"Architecture, Engineering & Design",construction,construction.architecture,1905182,Private,B2B,Yes,10-Aug-23,350,350,Debt,29-Apr-20,PPP,PPP,Kansas City,Missouri,64116,United States,37,,,
356008511,1980,224379,$100 mil. - $250 mil.,11218,2243,4263,970,298,Employees.250to499,0,0,3449,3441,34;344;3441;3449,332312,33231,33;332;3323;33231;332312,Manufacturing,Industrial Machinery & Equipment,Manufacturing,Industrial Machinery & Equipment,mfg,mfg.industrialmachinery,15184738,Private,B2B,Yes,8-Nov-23,2000,2000,Debt,3-Apr-20,PPP,PPP,Topeka,Kansas,66618,United States,5,,,
369414491,2014,6504,$5 mil. - $10 mil.,852,65,240,51,22,Employees.20to49,0,0,7389,7379,73;737;7371;7376;738;7389;7374;7372;7379,541519,541513,54;541;5415;54151;541511;51;513;5132;51321;513210;518;5182;51821;518210;541513;541519,Software,Networking Software,Software,Networking Software,software,software.network,2001889,Private,B2B,Yes,3-Aug-23,350,350,Debt,13-Apr-20,PPP,PPP,Downers Grove,Illinois,60515,United States,2,,,
348167598,,33519,$25 mil. - $50 mil.,2715,502,1240,528,250,Employees.250to499,0,0,4813,481,48;481;4813,517911,517121,51;517;5171;51712;517121;5179;51791;517911,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,889109,Private,B2B,Yes,21-Jul-22,0,0,,,,,Glendale,California,91203,United States,1,,215220721,53461957
482660316,2018,2206,$1 mil. - $5 mil.,284,22,61,70,25,Employees.20to49,0,0,7375,737,73;737;7375;48,517311,517111,51;517;5171;51711;517111;5173;51731;517311,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,201897,Private,B2C,Yes,12-Sep-23,0,0,,,,,Madison,Connecticut,6443,United States,1,,,
358509702,2019,2817,$1 mil. - $5 mil.,228,42,104,1079,335,Employees.250to499,0,0,3442,344,34;344;3442,332321,33232,33;332;3323;33232;332321,Manufacturing,Building Materials,Manufacturing,Building Materials,mfg,mfg.building,7040640,Private,B2C,Yes,19-May-22,0,0,,,,,La Puente,California,91746,United States,2,,,
1214766,1983,1379,$1 mil. - $5 mil.,168,13,27,24,7,Employees.5to9,0,0,2095,209,20;209;2095;29;21;26;39,311920,31192,31;311;3119;31192;311920,Manufacturing,Food & Beverage,Manufacturing,Food & Beverage,mfg,mfg.food,3514530,Private,B2C,Yes,15-Nov-21,0,0,,,,,Addison,Texas,75001,United States,1,,,
356317932,1994,67000,$50 mil. - $100 mil.,8777,670,2278,582,279,Employees.250to499,-0.4,-0.7,8082,808,80;808;8082,621610,62161,62;621;6216;62161;621610,Hospitals & Physicians Clinics,,Hospitals & Physicians Clinics;Healthcare Services,Elderly Care Services,hospitals,,5635015,Private,B2B,Yes,13-May-22,2000,2000,Debt,13-Apr-20,PPP,PPP,Indianapolis,Indiana,46220,United States,5,,,
120455285,1997,12618,$10 mil. - $25 mil.,1022,189,466,62,27,Employees.20to49,0,3.8,4812,481,48;481;4812,517911,517121,51;517;5171;51712;517121;5179;51791;517911,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,1269225,Private,B2B,Yes,16-Jun-23,0,0,,,,,London,Greater London,EC1N 8EL,United Kingdom,2,Yes,37945455,37945455
8441331,1999,28988,$25 mil. - $50 mil.,3797,289,1072,305,138,Employees.100to249,3,7.8,7389,7379,73;737;7372;7374;7379;738;7389;7371;7376,541519,541513,54;541;5415;54151;541512;51;513;5132;51321;513210;518;5182;51821;518210;541511;541513;541519,Software,Enterprise Resource Planning (ERP) Software,Software,Enterprise Resource Planning (ERP) Software,software,software.erp,8753212,Private,B2B,Yes,17-Aug-22,2000,2000,Debt,14-Apr-20,PPP,PPP,Blue Bell,Pennsylvania,19422,United States,4,,,
369098746,2014,4682,$1 mil. - $5 mil.,538,46,121,39,14,Employees.10to19,0,0,7941,794,79;794;7941,711211,71121,71;711;7112;71121;711211,Hospitality,Sports Teams & Leagues,Hospitality,Sports Teams & Leagues,hospitality,hospitality.sports,8840338,Private,B2B,Yes,18-Nov-21,60,60,Debt,29-Jan-21,PPP,PPP,Carmel,Indiana,46033,United States,1,,,
26656887,1976,1656975,$1 bil. - $5 bil.,134214,24854,61308,16232,7200,Employees.5000to9999,0,0,7389,7376,73;738;7389;737;7374;7371;7376;7373;38;382;3825,541519,541513,51;518;5182;51821;518210;54;541;5415;54151;541511;541512;541513;541519;33;334;3345;33451;334515,Manufacturing,Test & Measurement Equipment,Manufacturing;Software,Test & Measurement Equipment;Electronics;Engineering Software,mfg,mfg.testequipment,32380,Public,B2B,Yes,22-Feb-24,1036900,1000000,Debt,24-Aug-22,,,Austin,Texas,78759,United States,16,Yes,46322077,46322077
53265654,1967,1595,$1 mil. - $5 mil.,183,15,74,64,28,Employees.20to49,47.4,64.7,8322,832,83;832;8322,624229,62422,62;624;6242;62422;624229,Real Estate,,Real Estate;Organizations,Non-Profit & Charitable Organizations,realestate,,10654800,Private,,Yes,3-Jun-22,350,350,Debt,8-Apr-20,PPP,PPP,Stamford,Connecticut,6902,United States,14,,,
